																																				
#Gene_Name	Gene_Length	%GC_ref	102-11C_S3_L001_length	126-11c_S9_L001_length	1ES86798_S2_L001_length	1EV02973_S11_L001_length	1EV02981_S8_L001_length	2KK58589_S7_L001_length	2KR049010_S2_L001_length	512022_S1_L001_length	BL37577_S10_L001_length	BL37590_S4_L001_length	C00413_S5_L001_length	C00434_S6_L001_length	CC50362-2_S1_L001_length	CC50362-3_S4_L001_length	IMIN44_S12_L001_length	Undetermined_S0_L001_length	ZL10_S3_L001_length	102-11C_S3_L001_identity	126-11c_S9_L001_identity	1ES86798_S2_L001_identity	1EV02973_S11_L001_identity	1EV02981_S8_L001_identity	2KK58589_S7_L001_identity	2KR049010_S2_L001_identity	512022_S1_L001_identity	BL37577_S10_L001_identity	BL37590_S4_L001_identity	C00413_S5_L001_identity	C00434_S6_L001_identity	CC50362-2_S1_L001_identity	CC50362-3_S4_L001_identity	IMIN44_S12_L001_identity	Undetermined_S0_L001_identity	ZL10_S3_L001_identity
HtGene0022	1434	33.3	1434	1434	0	0	0	0	1249	144	0	0	458	1434	0	0	0	1259	0	100.0	100.0	0	0	0	0	94.2	86.5	0	0	99.4	99.3	0	100.0	0	100.0	0
HtGene0028	1896	31.5	1896	1830	0	0	0	0	1239	0	0	0	411	1811	0	219	0	1689	0	45.6	45.6	0	0	0	0	53.2	0	0	76.8	62.7	46.9	86.9	79.2	92.1	46.5	0
HtGene0029	1602	29.8	1602	1596	191	0	401	0	1574	984	349	555	678	1577	442	438	0	1065	0	100.0	100.0	100.0	0	94.3	100.0	95.8	87.9	94.1	94.0	99.5	99.4	93.1	94.3	0	98.0	0
HtGene0031	2913	25.7	2913	2841	164	0	0	0	2147	0	0	0	468	2910	0	0	0	2086	0	48.3	48.3	83.6	0	0	0	54.2	94.3	0	0	71.7	48.7	43.7	93.3	96.0	48.5	97.4
HtGene0032	2211	31.4	2211	2211	76	0	0	0	1552	789	0	301	499	2211	478	383	0	1915	0	100.0	100.0	100.0	0	100.0	0	94.8	87.3	100.0	98.7	99.5	99.1	97.8	98.9	98.6	98.9	0
HtGene0033	1290	31.9	1290	1290	0	0	0	0	1148	0	0	0	391	1290	0	494	0	1096	0	50.1	50.1	0	0	0	86.6	50.4	0	0	0	56.5	49.5	0	68.6	0	50.5	0
HtGene0034	3234	35.1	3234	3234	356	0	551	0	2481	195	137	890	1760	3234	1056	1244	30	2929	0	49.3	49.3	78.3	0	80.8	0	55.1	85.5	84.4	73.4	58.5	49.3	74.2	65.1	93.8	49.8	0
HtGene0039	1185	29.9	1185	1075	654	0	618	301	982	674	187	654	629	1173	820	844	0	859	0	100.0	100.0	95.9	99.3	93.6	100.0	94.4	87.0	98.6	92.6	99.2	99.0	90.5	89.5	0	99.8	0
HtGene0051	1890	26.4	1890	1890	0	0	0	0	1519	0	0	0	568	1890	280	0	113	1623	0	52.4	52.4	0	0	0	0	57.6	96.4	0	0	76.2	52.8	80.6	84.7	92.0	53.5	0
HtGene0052	1236	32.0	1236	1236	367	0	234	0	1146	212	0	368	375	1236	388	404	0	996	0	100.0	100.0	99.5	0	100.0	0	93.0	85.2	100.0	95.5	99.0	99.2	91.0	94.1	0	98.5	0
HtGene0063	3186	30.1	3186	3186	0	0	200	0	1908	127	0	170	1133	3186	356	218	40	2814	0	48.9	48.9	85.7	0	91.0	0	62.7	80.8	91.8	92.3	66.2	49.0	82.3	72.0	88.4	48.8	95.3
HtGene0064	450	36.7	450	450	0	0	0	0	450	315	0	0	276	450	0	0	0	392	0	100.0	100.0	0	0	0	0	94.2	84.2	0	0	99.8	99.8	0	95.1	0	100.0	0
HtGene0065	1770	30.3	1770	1770	358	0	694	0	1603	233	203	770	162	1770	751	777	0	1652	0	49.2	49.2	70.0	0	70.1	85.7	50.5	74.6	78.6	68.6	72.4	49.1	67.1	62.7	0	49.6	0
HtGene0069	573	30.4	573	573	146	0	0	0	392	0	0	283	148	553	148	148	0	450	0	47.8	47.8	47.3	0	0	0	46.9	0.0	0	48.2	48.4	49.3	53.4	50.0	0.0	45.8	0
HtGene0070	1941	29.5	1940	1941	138	0	244	136	1046	526	119	367	55	1941	565	559	407	1182	0	100.0	100.0	100.0	98.6	97.8	100.0	95.5	94.2	100.0	98.8	98.9	98.2	98.0	99.7	97.6	99.9	0
HtGene0077	948	32.9	948	769	502	139	637	178	825	684	464	742	143	941	626	654	92	734	34	100.0	100.0	96.6	100.0	96.0	100.0	96.4	91.0	97.9	94.8	99.5	99.1	94.5	91.0	98.6	98.3	100.0
HtGene0078	654	34.3	654	654	359	0	273	0	654	202	305	458	144	654	470	469	0	553	0	100.0	100.0	98.7	0	96.7	100.0	95.6	84.8	94.4	97.8	99.2	99.4	95.6	94.2	0	99.7	0
HtGene0082	630	37.3	630	630	196	0	285	274	617	356	0	285	192	630	285	285	0	581	0	48.9	48.9	63.3	0	47.0	46.0	49.2	48.6	0	45.3	49.2	49.0	52.3	50.7	0	49.9	0
HtGene0083	825	34.2	825	674	515	0	320	290	533	298	0	365	255	825	406	413	206	578	0	100.0	100.0	96.0	0	96.8	100.0	94.9	91.5	100.0	95.0	99.1	98.5	92.5	90.7	99.0	99.9	0
HtGene0085	624	32.5	624	565	0	0	0	0	565	256	0	187	58	624	0	0	0	535	0	100.0	100.0	0	0	0	0	96.3	88.7	0	95.5	99.0	99.5	100.0	100.0	0	97.9	0
HtGene0092	435	33.1	435	435	0	0	238	0	435	308	0	327	0	435	404	356	0	390	0	46.4	46.4	71.0	69.3	48.6	69.7	48.7	48.9	0	48.3	68.3	46.7	46.2	47.0	0	48.2	0
HtGene0094	1722	31.9	1722	1722	854	0	495	0	1722	846	0	779	177	1722	1089	1100	0	1486	0	100.0	100.0	97.2	0	98.2	100.0	93.3	88.6	100.0	96.4	99.4	99.2	93.8	94.4	0	99.3	0
HtGene0095	22347	30.2	22346	22347	327	0	287	0	11468	139	0	592	8323	22310	646	820	195	17507	0	49.9	49.9	88.4	92.2	91.9	82.7	63.2	89.0	91.8	90.3	64.9	50.0	83.5	81.2	93.5	50.5	94.6
HtGene0096	1575	34.8	1575	1575	168	0	341	0	1369	957	0	648	473	1575	779	778	0	1354	0	100.0	100.0	99.8	0	100.0	100.0	93.8	86.1	0	96.8	99.7	99.4	95.0	99.6	0	100.0	0
HtGene0097	576	40.1	576	576	457	0	459	0	481	475	472	479	427	576	481	481	0	435	0	50.0	50.0	45.7	67.8	47.7	64.0	48.9	50.3	44.9	46.8	50.2	49.3	47.6	46.6	0	47.5	0
HtGene0100	1299	29.6	1299	1299	634	0	729	270	1296	930	109	788	145	1299	910	912	0	1140	0	100.0	100.0	97.1	0	95.5	100.0	94.4	83.1	93.6	98.1	99.6	99.5	90.9	89.8	0	99.4	0
HtGene0108	1503	31.4	1503	1503	260	0	182	146	1503	0	0	322	418	1503	359	523	0	1341	0	51.4	51.4	80.0	0	84.8	86.8	50.8	0	0	78.4	70.3	51.2	78.5	55.1	0	52.2	0
HtGene0109	2190	26.4	2189	2190	0	0	0	0	1590	169	0	0	885	2190	0	143	0	1909	0	51.6	51.6	85.3	0	0	0	61.1	89.0	0	0	61.1	51.3	76.2	84.3	100.0	52.5	0
HtGene0110	756	32.4	756	742	142	0	489	0	742	607	0	551	216	742	627	625	0	642	0	100.0	100.0	100.0	100.0	97.1	0	96.5	87.4	100.0	95.8	99.1	99.3	95.4	91.4	0	99.7	0
HtGene0115	4728	31.0	4711	4619	0	0	0	299	4272	342	0	0	2285	4599	722	824	55	4045	0	99.9	100.0	100.0	0	0	99.4	95.3	88.1	0	100.0	98.7	99.1	97.9	97.7	98.6	99.7	0
HtGene0116	834	32.6	834	834	415	0	442	0	834	533	138	613	315	834	786	809	0	758	0	52.3	52.3	61.9	74.8	65.5	0	51.7	57.9	69.9	57.6	65.4	52.8	51.7	51.8	0	52.5	0
HtGene0129	3408	29.6	3408	3408	215	0	0	0	1757	30	0	0	1595	3408	407	396	126	3088	0	49.8	49.8	70.7	0	0	0	61.3	96.8	0	0	54.3	48.8	67.5	71.8	90.5	49.6	0
HtGene0131	1602	29.9	1602	1602	640	284	682	470	1602	638	418	843	421	1602	1122	1134	0	1334	0	100.0	100.0	97.0	96.9	96.9	100.0	93.4	89.0	92.5	95.2	99.5	99.3	93.4	93.4	0	99.5	0
HtGene0132	1308	31.9	1308	1308	0	0	0	0	1278	388	0	422	650	1308	486	543	0	968	0	52.0	52.0	89.0	0	81.7	0	52.3	71.2	0	70.6	66.9	47.9	68.8	72.8	87.2	51.6	0
HtGene0133	2085	27.6	2084	2077	0	0	0	0	1817	147	0	0	432	2082	181	0	0	1966	0	49.2	49.2	0	0	0	0	53.8	85.6	0	0	66.1	49.8	82.5	86.8	0	49.9	0
HtGene0140	3030	32.8	3030	3030	0	0	0	0	2582	0	0	0	1675	3030	297	344	0	2732	0	48.0	48.1	88.3	0	0	0	52.1	0	0	85.4	50.4	48.6	78.1	79.1	0	49.2	0
HtGene0141	2268	27.4	2268	2177	126	0	0	0	1624	40	0	265	447	2152	445	453	0	1317	0	100.0	100.0	100.0	0	100.0	0	98.3	99.0	100.0	98.6	97.9	98.6	95.5	96.0	0	99.4	0
HtGene0143	2448	33.7	2448	2448	0	0	0	0	1416	153	0	166	1295	2448	261	431	224	2144	0	49.1	49.2	0	0	91.0	0	56.4	87.7	0	77.0	56.5	48.9	75.5	61.4	84.4	49.5	93.3
HtGene0148	1707	38.3	1707	1707	373	0	507	185	1631	1002	292	395	499	1707	439	439	176	1443	0	100.0	100.0	92.5	100.0	96.7	92.8	94.1	84.7	100.0	94.6	99.1	99.1	95.7	94.5	91.7	99.2	99.3
HtGene0153	1251	33.4	1251	1251	327	0	304	0	1139	850	0	372	1029	1251	463	449	0	1131	0	48.8	48.7	76.6	0	80.8	0	52.2	60.2	0	73.1	53.1	50.3	63.3	64.7	87.3	51.0	0
HtGene0166	1548	28.4	1548	1538	212	0	0	164	1346	0	0	215	0	1548	399	649	0	1080	0	99.9	99.9	94.9	100.0	100.0	97.6	96.3	92.1	0	90.9	98.6	99.4	97.9	98.2	0	99.8	0
HtGene0168	1182	33.0	1182	1182	804	254	1102	625	1181	1011	186	1182	367	1182	1097	1124	0	1058	0	100.0	100.0	97.8	99.1	97.1	98.5	94.4	87.7	100.0	91.4	99.6	99.4	91.3	92.2	90.8	98.2	0
HtGene0169	1726	21.7	1726	1495	0	0	0	0	390	0	0	0	174	1580	0	108	0	536	0	52.9	52.9	0	0	0	0	72.0	0	0	0	76.5	51.8	71.2	53.7	0	54.9	0
HtGene0182	2748	28.7	2748	2748	309	0	476	0	2690	736	175	608	919	2748	704	717	0	2459	0	51.4	51.5	84.3	0	82.3	88.4	51.2	73.4	90.9	80.1	60.7	51.1	78.2	73.7	88.7	51.2	84.0
HtGene0183	5808	35.0	5803	5808	492	0	458	93	3200	455	0	663	2548	5796	677	999	0	5046	0	47.9	47.9	79.6	88.7	87.9	94.5	61.4	82.4	0	80.3	62.0	48.1	81.6	76.4	100.0	48.0	0
HtGene0199	4221	28.8	4221	4221	385	0	503	0	3469	0	254	790	1827	4221	965	959	0	3455	0	100.0	100.0	96.7	0	98.5	100.0	94.8	87.3	100.0	94.2	99.3	99.1	95.1	95.9	89.8	98.9	0
HtGene0206	1449	32.2	1449	1449	0	0	0	0	550	0	0	0	497	1449	0	0	0	1402	0	99.9	99.9	0	0	0	0	98.1	99.5	0	0	99.3	99.0	0	0	0	99.9	0
HtGene0209	2502	29.1	2502	2430	282	0	192	0	781	0	0	436	701	2466	402	568	0	2165	0	99.9	99.9	98.0	0	97.2	0	96.9	0	0	96.4	98.2	98.4	98.0	96.8	94.8	99.6	0
HtGene0210	1611	32.2	1611	1611	0	0	0	0	1589	0	0	125	839	1611	0	0	0	1448	0	50.3	50.3	0	0	0	0	50.0	0	0	92.8	58.9	49.5	88.5	77.8	0	50.8	0
HtGene0214	4287	34.4	4287	4287	927	0	1289	157	4121	1634	458	1745	1767	4287	1855	2161	261	3684	0	52.3	52.3	77.0	0	72.4	88.8	52.2	68.8	85.1	71.5	61.0	51.9	63.9	61.7	91.4	51.9	88.6
HtGene0219	3300	30.7	3300	3300	85	0	189	0	1838	567	0	280	504	3300	563	580	0	2846	0	50.1	50.1	88.8	0	90.0	0	64.7	81.3	90.1	83.6	74.4	50.4	83.8	75.9	0	49.9	0
HtGene0225	792	35.5	792	729	0	0	0	0	792	729	0	0	212	792	487	364	0	633	0	100.0	100.0	100.0	0	0	0	96.7	86.2	100.0	100.0	99.7	99.9	96.5	99.7	0	98.7	0
HtGene0226	858	30.8	858	858	0	0	0	0	856	0	0	0	488	858	0	0	0	752	0	52.9	52.9	0	0	0	0	50.1	0	0	0	59.1	52.9	0	0	0	50.6	0
HtGene0230	1284	34.4	1283	1265	194	0	141	0	488	253	0	228	527	1284	396	236	0	1128	0	38.4	38.2	64.6	0	65.2	0	40.5	58.3	0	64.7	40.5	37.9	48.4	47.6	49.3	37.9	0
HtGene0231	531	34.5	531	531	253	0	282	0	531	488	133	282	282	531	282	282	0	463	0	49.7	49.7	53.8	43.7	56.0	0	47.1	49.2	68.1	56.0	56.0	50.3	53.2	53.5	0	49.6	0
HtGene0240	1056	29.3	1056	1056	0	0	0	0	1017	219	0	0	282	1056	0	0	0	966	0	100.0	100.0	0	0	0	99.3	93.9	89.7	0	100.0	99.3	99.4	100.0	100.0	0	100.0	0
HtGene0241	1218	27.3	1218	1218	300	0	190	210	632	43	0	381	383	1218	510	545	0	1025	0	46.1	46.1	76.4	0	78.1	68.1	58.9	81.0	77.5	70.9	55.4	46.7	60.5	59.3	0	45.6	0
HtGene0243	1959	35.1	1959	1959	0	0	123	0	1004	589	0	141	876	1959	167	188	0	1814	0	100.0	100.0	0	100.0	100.0	0	95.1	87.2	0	100.0	99.4	98.0	99.8	98.4	0	100.0	0
HtGene0246	1719	35.0	1719	1719	1347	0	611	0	1719	233	0	918	435	1719	1670	1482	0	1524	0	50.4	50.4	55.3	82.9	70.3	73.4	48.7	73.4	86.8	60.9	75.5	50.3	50.4	50.8	0	50.9	0
HtGene0248	2229	33.3	2229	2171	862	0	787	302	2170	1315	215	1148	601	2201	1489	1471	0	1869	0	100.0	100.0	98.2	97.9	98.0	97.8	94.3	86.0	94.2	93.9	99.6	99.5	92.8	92.2	100.0	99.8	99.3
HtGene0256	1548	35.5	1548	1548	0	0	0	0	0	0	0	0	485	1548	0	0	0	1501	0	50.3	50.3	0	0	70.6	0	0	60.5	0	0	57.2	50.3	0	55.7	0	50.2	56.0
HtGene0257	5082	33.5	5067	5082	0	0	0	0	0	164	0	0	2380	4906	0	209	231	4567	0	49.8	50.0	88.0	0	81.6	0	88.3	77.9	0	0	61.6	49.8	89.8	79.8	87.1	49.8	83.8
HtGene0264	3096	29.0	3096	3096	846	0	912	607	2332	179	773	1028	1425	3096	1018	1034	0	2493	0	48.3	48.3	68.0	0	65.7	70.5	52.2	79.3	66.2	67.3	61.9	48.2	64.4	62.0	0	48.6	0
HtGene0270	1278	37.9	1278	1278	0	0	0	0	1113	0	0	0	735	1278	0	0	0	1140	0	49.8	49.8	0	0	0	0	51.8	46.9	84.2	0	59.8	50.1	62.9	46.2	0	50.2	0
HtGene0274	1818	28.0	1818	1818	0	0	0	0	868	0	0	51	382	1818	51	51	0	1353	0	51.3	51.3	74.1	0	0	0	61.6	0	0	51.0	63.6	51.0	68.9	51.0	0	52.3	0
HtGene0276	1098	32.1	1098	1098	247	0	173	0	889	406	0	241	304	1098	509	419	0	893	0	100.0	99.9	93.5	0	100.0	100.0	97.3	89.2	0	93.1	99.5	99.5	94.7	96.1	0	100.0	0
HtGene0286	2466	33.3	2466	2466	1174	0	1156	368	2466	2184	485	1739	793	2466	2142	2240	0	2144	0	100.0	100.0	98.9	100.0	98.9	100.0	94.6	88.3	100.0	96.1	99.1	99.1	94.2	92.9	0	99.6	100.0
HtGene0287	2544	25.5	2544	2541	0	0	0	0	2088	180	0	297	269	2404	0	491	0	1507	0	47.4	47.4	80.0	0	0	0	48.5	69.8	0	71.4	68.3	47.6	63.0	68.9	84.3	48.2	0
HtGene0289	1071	28.5	1071	1071	452	0	361	0	1052	406	0	611	443	1071	707	746	0	862	0	49.1	49.1	72.2	72.3	73.9	0	49.0	60.9	75.1	59.8	60.5	49.4	60.9	53.5	0	49.3	0
HtGene0297	930	31.3	930	930	0	0	258	0	804	200	121	458	265	930	546	550	0	631	0	100.0	100.0	100.0	0	96.9	0	95.6	86.1	100.0	98.6	98.9	99.0	91.5	95.2	0	99.4	0
HtGene0302	1254	29.4	1254	1254	0	0	0	0	1229	0	0	163	400	1254	221	230	0	1052	0	53.7	53.7	0	0	88.4	0	53.0	0	85.3	74.2	58.5	52.7	74.5	79.8	0	53.2	82.4
HtGene0308	555	27.7	555	555	0	0	0	0	466	216	0	0	330	555	0	0	0	502	0	100.0	100.0	0	0	0	0	96.1	87.6	0	0	99.0	98.9	0	0	0	100.0	0
HtGene0309	4854	34.5	4854	4852	986	0	1197	500	3884	1235	603	1498	959	4854	1364	1354	0	3833	0	99.9	99.9	97.8	0	95.7	99.2	94.9	88.1	98.4	94.2	99.3	98.8	94.2	92.7	97.3	99.6	0
HtGene0313	642	37.9	642	642	133	0	200	0	642	89	0	208	280	642	208	208	0	555	0	99.8	100.0	100.0	99.5	93.3	0	95.2	89.4	0	96.2	99.1	99.2	92.3	89.4	100.0	96.1	0
HtGene0316	3825	28.6	3825	3825	171	0	0	0	1815	509	0	265	1651	3774	518	448	0	3507	0	49.4	49.4	83.5	89.3	84.8	0	62.0	83.0	0	85.2	61.2	49.1	73.1	74.9	0	49.4	0
HtGene0318	3585	29.6	3585	3585	185	0	193	0	3523	173	0	441	1098	3585	318	389	0	3237	0	51.9	51.9	89.2	90.2	87.7	95.2	52.4	90.8	0	86.2	74.6	52.3	87.2	82.9	97.2	53.4	0
HtGene0320	939	33.1	939	939	105	0	145	0	726	0	0	149	406	939	177	163	0	873	0	49.8	49.8	88.6	0	81.8	0	50.5	0	0	80.2	58.7	49.8	73.8	78.1	0	50.2	0
HtGene0328	1077	30.2	1077	1077	493	0	180	189	867	471	0	351	308	1077	716	717	0	794	0	50.1	50.1	63.8	0	78.3	81.3	49.6	71.2	80.2	69.4	65.9	48.5	50.6	52.5	0	49.1	84.6
HtGene0341	687	34.2	687	687	0	0	0	0	686	0	0	0	121	686	0	0	0	630	0	100.0	100.0	0	0	0	0	96.4	100.0	0	0	99.3	99.6	100.0	100.0	0	97.3	0
HtGene0351	678	30.1	678	678	0	0	0	0	0	0	0	0	238	678	0	0	0	580	0	99.9	100.0	0	0	0	0	0	0	0	0	97.8	98.4	100.0	0	0	100.0	0
HtGene0364	5946	32.1	5941	5946	1470	213	974	528	4947	1147	840	1783	1744	5704	2882	2477	450	5009	39	44.3	44.3	64.3	62.4	65.1	64.4	47.8	63.5	65.7	64.0	55.7	45.2	54.1	55.1	42.5	45.7	70.2
HtGene0365	828	29.5	828	828	0	0	0	0	387	0	0	0	104	828	0	0	0	689	0	100.0	100.0	0	0	0	0	94.3	0	0	0	97.1	97.9	100.0	0	0	100.0	0
HtGene0369	1683	30.0	1683	1683	0	0	122	0	1682	233	0	201	542	1683	332	335	0	1444	0	100.0	100.0	100.0	0	100.0	0	94.2	90.3	0	100.0	98.7	98.5	97.0	96.7	0	99.8	98.3
HtGene0380	450	34.2	450	450	0	0	0	0	376	0	0	0	85	450	259	252	0	334	0	43.1	43.1	0	0	0	0	44.4	0	0	66.4	55.4	42.7	50.2	44.4	0	43.4	0
HtGene0383	1365	28.2	1350	1290	211	0	189	0	1046	274	222	236	301	1208	286	276	0	952	0	99.9	100.0	99.2	0	97.3	0	94.8	86.3	100.0	98.2	99.6	99.4	94.3	95.3	0	98.3	0
HtGene0386	2997	28.9	2995	2983	115	0	386	121	2429	105	0	371	996	2980	474	569	61	2333	0	47.8	47.8	80.0	0	83.5	85.9	54.2	68.0	84.7	85.0	56.1	48.4	77.9	74.6	84.5	48.7	0
HtGene0388	1731	31.9	1731	1731	399	0	301	0	1601	303	282	721	556	1731	860	890	0	1583	0	48.5	48.5	60.3	0	79.8	0	50.9	72.3	71.8	66.0	69.6	48.7	62.0	63.8	0	49.7	0
HtGene0390	684	34.4	684	684	110	0	0	0	684	426	0	217	87	684	449	427	0	581	0	49.7	49.7	76.4	0	87.4	0	48.8	58.6	0	72.5	88.5	49.7	56.6	62.9	81.3	51.4	0
HtGene0392	5073	31.2	5073	5073	856	149	746	0	4067	1260	261	1151	1243	5073	1446	1596	23	4250	0	100.0	100.0	99.7	100.0	97.5	100.0	95.0	87.5	96.5	94.9	99.0	99.0	93.8	96.1	99.6	99.8	0
HtGene0393	6060	28.6	6060	6060	1041	0	817	0	5810	565	0	1316	2214	6060	2057	2122	0	5507	0	52.5	52.5	79.4	93.8	84.6	96.0	53.0	86.4	93.3	74.6	67.8	51.9	71.8	71.9	0	52.9	0
HtGene0395	3651	32.7	3557	3557	451	0	497	0	3505	1167	0	563	1218	3557	1066	969	0	3201	0	50.0	50.0	86.8	0	85.9	0	50.1	72.2	0	83.9	69.6	50.1	74.0	74.0	0	50.6	0
HtGene0397	3000	33.3	3000	3000	351	0	397	0	2600	282	0	610	1394	3000	804	844	0	2634	0	50.8	50.7	75.1	0	80.5	90.7	52.8	79.7	81.7	76.8	57.4	50.3	68.3	70.9	0	51.2	0
HtGene0399	29358	31.2	29355	29282	0	0	0	0	21733	1679	171	357	12605	29346	574	880	384	25446	0	48.8	48.8	87.6	85.9	94.9	93.5	54.8	80.1	93.3	88.0	62.8	49.3	77.3	76.8	89.6	49.7	0
HtGene0401	2412	32.4	2412	2412	0	0	0	0	1395	407	0	0	1647	2412	251	357	0	2236	0	50.4	50.4	89.0	0	0	0	63.5	78.4	0	0	52.7	50.7	73.9	72.1	0	48.4	88.9
HtGene0404	1776	31.6	1776	1776	785	0	609	225	1747	608	378	937	532	1776	1136	1084	29	1558	0	100.0	100.0	99.0	100.0	98.2	100.0	94.4	90.2	100.0	94.0	99.3	99.3	94.4	93.9	100.0	99.6	100.0
HtGene0405	1200	32.1	1200	1184	633	0	1000	516	1184	947	67	1113	455	1184	897	916	201	1010	0	100.0	100.0	98.0	0	96.8	97.6	93.7	84.5	100.0	94.2	99.2	99.5	93.0	90.8	99.7	99.7	100.0
HtGene0406	2877	30.6	2877	2702	910	173	1000	0	2351	1258	0	1411	912	2877	1630	1656	129	2250	0	50.3	50.3	66.0	68.0	60.6	82.9	52.2	56.4	67.1	62.2	60.7	50.2	59.6	56.6	82.2	51.9	0
HtGene0407	1098	29.3	1098	1098	322	0	437	0	1048	0	0	669	214	1098	493	533	0	1014	0	50.1	50.1	78.2	0	72.5	0	51.0	70.4	0	63.8	57.4	50.3	52.8	61.0	0	50.5	0
HtGene0428	1485	35.4	1485	1485	1262	169	1232	793	1485	1458	1053	1279	506	1485	1367	1371	0	1329	0	100.0	100.0	98.2	100.0	94.9	95.2	95.6	89.4	97.3	92.2	99.3	99.5	91.5	92.7	89.5	99.2	0
HtGene0431	834	27.6	834	833	0	0	0	0	0	0	0	0	277	833	0	0	0	538	0	100.0	99.9	0	0	0	0	100.0	0	0	0	96.8	96.2	0	100.0	0	100.0	0
HtGene0432	1557	32.1	1557	1557	0	0	0	0	0	0	0	0	450	1557	0	0	0	1292	0	51.1	51.1	0	0	0	0	80.3	91.3	0	0	54.6	50.5	77.6	0	0	51.2	0
HtGene0442	2802	33.9	2802	2802	1462	249	1688	488	2802	2002	651	1866	1946	2802	2332	2318	0	2485	0	47.5	47.5	63.5	72.7	61.1	73.3	47.9	52.3	69.4	57.3	50.3	48.7	52.7	48.6	84.6	48.3	0
HtGene0443	381	34.6	381	381	0	0	0	0	295	0	0	0	0	381	115	100	0	343	0	49.9	49.9	0	0	0	0	51.1	0	0	0	56.2	49.3	54.3	51.0	0	48.7	0
HtGene0444	2007	32.2	2007	1959	312	0	162	0	1686	162	125	538	1010	1979	424	453	0	1533	0	44.8	45.1	80.6	0	75.0	0	49.3	81.6	85.6	69.4	58.1	44.5	75.0	69.9	79.1	45.4	89.3
HtGene0447	1674	37.3	1674	1674	0	0	132	0	1608	268	0	257	725	1674	305	300	76	1358	0	99.9	100.0	100.0	0	100.0	0	95.2	84.6	100.0	95.2	99.2	99.2	92.1	95.1	99.0	99.2	0
