																																																		
#Gene_Name	Gene_Length	%GC_ref	102-11C_S3_L001_length	126-11c_S9_L001_length	1ES86798_S2_L001_length	1EV02973_S11_L001_length	1EV02981_S8_L001_length	2KK58589_S7_L001_length	2KR049010_S2_L001_length	512022_S1_L001_length	BL37577_S10_L001_length	BL37590_S4_L001_length	C00413_S5_L001_length	C00434_S6_L001_length	CC50362-2_S1_L001_length	CC50362-3_S4_L001_length	IMIN44_S12_L001_length	ZL10_S3_L001_length	102-11C_S3_L001_identity	126-11c_S9_L001_identity	1ES86798_S2_L001_identity	1EV02973_S11_L001_identity	1EV02981_S8_L001_identity	2KK58589_S7_L001_identity	2KR049010_S2_L001_identity	512022_S1_L001_identity	BL37577_S10_L001_identity	BL37590_S4_L001_identity	C00413_S5_L001_identity	C00434_S6_L001_identity	CC50362-2_S1_L001_identity	CC50362-3_S4_L001_identity	IMIN44_S12_L001_identity	ZL10_S3_L001_identity	102-11C_S3_L001_coverage	126-11c_S9_L001_coverage	1ES86798_S2_L001_coverage	1EV02973_S11_L001_coverage	1EV02981_S8_L001_coverage	2KK58589_S7_L001_coverage	2KR049010_S2_L001_coverage	512022_S1_L001_coverage	BL37577_S10_L001_coverage	BL37590_S4_L001_coverage	C00413_S5_L001_coverage	C00434_S6_L001_coverage	CC50362-2_S1_L001_coverage	CC50362-3_S4_L001_coverage	IMIN44_S12_L001_coverage	ZL10_S3_L001_coverage
HtGene0022	1434	33.3	1434	1434	0	0	0	0	1433	0	0	251	458	1434	728	991	0	0	100.0	100.0	0	0	0.0	0.0	87.9	0.0	0.0	34.2	45.3	99.3	73.3	74.0	0	0	100.0	100.0	0.0	0.0	0.0	0.0	99.9	0.0	0.0	17.5	31.9	100.0	50.8	69.1	0.0	0.0
HtGene0028	1896	31.5	1896	1830	0	0	166	0	1264	0	0	285	411	1811	300	219	0	0	100.0	96.5	0	0	54.9	0.0	74.0	0	0.0	51.3	41.1	98.7	51.7	35.9	0.0	0	100.0	96.5	0.0	0.0	8.8	0.0	66.7	0.0	0.0	15.0	21.7	95.5	15.8	11.6	0.0	0.0
HtGene0029	1602	29.8	1602	1596	315	0	449	244	1586	890	347	851	678	1585	1192	1258	0	0	100.0	99.6	56.5	0.0	70.3	75.1	93.0	65.4	67.4	83.3	82.0	98.4	74.7	82.5	0	0	100.0	99.6	19.7	0.0	28.0	15.2	99.0	55.6	21.7	53.1	42.3	98.9	74.4	78.5	0.0	0.0
HtGene0031	2913	25.7	2913	2841	252	44	44	35	2210	42	0	0	509	2911	167	173	0	0	100.0	97.5	44.8	97.8	93.6	76.1	82.6	73.7	0.0	0.0	45.1	98.6	57.0	37.3	0.0	0.0	100.0	97.5	8.7	1.5	1.5	1.2	75.9	1.4	0.0	0.0	17.5	99.9	5.7	5.9	0.0	0.0
HtGene0032	2211	31.4	2211	2211	438	0	320	0	2043	755	185	512	499	2211	794	747	0	92	100.0	100.0	73.9	0	70.1	0.0	87.9	66.9	42.4	80.9	60.1	99.1	68.2	62.0	0.0	59.7	100.0	100.0	19.8	0.0	14.5	0.0	92.4	34.1	8.4	23.2	22.6	100.0	35.9	33.8	0.0	4.2
HtGene0033	1290	31.9	1290	1290	242	0	0	52	1271	0	0	0	381	1290	283	554	0	0	100.0	100.0	77.9	0	0	53.6	88.7	0	0	0	36.3	98.6	74.0	79.5	0	0	100.0	100.0	18.8	0.0	0.0	4.0	98.5	0.0	0.0	0.0	29.5	100.0	21.9	42.9	0.0	0.0
HtGene0034	3234	35.1	3234	3234	876	0	763	174	3173	195	562	1314	1864	3234	1410	1625	30	30	100.0	100.0	65.5	0.0	63.7	89.7	88.7	51.2	65.1	60.9	76.5	98.9	70.4	61.3	90.6	93.5	100.0	100.0	27.1	0.0	23.6	5.4	98.1	6.0	17.4	40.6	57.6	100.0	43.6	50.2	0.9	0.9
HtGene0039	1185	29.9	1185	1075	779	156	791	427	985	592	441	851	629	1173	853	894	0	0	100.0	90.7	71.5	44.9	84.9	77.2	92.5	68.1	48.9	82.3	94.0	98.0	83.7	83.7	0	0.0	100.0	90.7	65.7	13.2	66.8	36.0	83.1	50.0	37.2	71.8	53.1	99.0	72.0	75.4	0.0	0.0
HtGene0051	1890	26.4	1890	1890	139	0	298	0	1771	0	0	305	568	1890	499	479	113	0	100.0	100.0	22.8	0	61.1	0	89.3	0	0.0	48.1	77.9	99.3	71.7	46.4	100.0	0	100.0	100.0	7.4	0.0	15.8	0.0	93.7	0.0	0.0	16.1	30.1	100.0	26.4	25.3	6.0	0.0
HtGene0052	1236	32.0	1236	1236	889	0	505	420	1146	212	0	873	375	1236	1112	1146	0	0	100.0	100.0	78.0	0	74.7	80.1	84.7	75.9	0.0	68.2	72.6	99.2	81.2	83.3	0	0.0	100.0	100.0	71.9	0.0	40.9	34.0	92.7	17.2	0.0	70.6	30.3	100.0	90.0	92.7	0.0	0.0
HtGene0063	3186	30.1	3186	3186	538	37	746	251	2175	112	87	852	1297	3186	1028	1031	40	34	100.0	100.0	47.9	13.4	74.4	87.1	74.5	23.8	15.0	78.3	68.6	99.0	66.3	50.3	27.4	44.7	100.0	100.0	16.9	1.2	23.4	7.9	68.3	3.5	2.7	26.7	40.7	100.0	32.3	32.4	1.3	1.1
HtGene0064	450	36.7	450	450	0	0	0	0	450	256	0	435	276	450	272	267	0	0	100.0	100.0	0.0	0	0.0	0	93.6	68.2	0.0	82.2	61.7	99.8	76.4	53.2	0	0	100.0	100.0	0.0	0.0	0.0	0.0	100.0	56.9	0.0	96.7	61.3	100.0	60.4	59.3	0.0	0.0
HtGene0065	1770	30.3	1770	1770	743	0	718	0	1622	215	327	778	162	1770	833	920	0	0	100.0	100.0	75.1	0	81.4	0.0	93.6	37.5	50.3	86.5	27.6	99.3	59.4	67.6	0	0	100.0	100.0	42.0	0.0	40.6	0.0	91.6	12.1	18.5	44.0	9.2	100.0	47.1	52.0	0.0	0.0
HtGene0069	573	30.4	573	573	162	0	456	9	506	9	0	472	148	553	318	316	0	9	99.8	99.8	64.3	0.0	91.2	6.3	88.6	42.9	0.0	87.4	70.4	95.6	70.1	83.9	0.0	100.0	100.0	100.0	28.3	0.0	79.6	1.6	88.3	1.6	0.0	82.4	25.8	96.5	55.5	55.1	0.0	1.6
HtGene0070	1941	29.5	1941	1941	679	187	478	219	1544	677	451	701	458	1941	1235	1172	407	160	100.0	100.0	70.3	30.1	50.0	59.2	79.1	85.3	85.0	75.8	34.0	98.4	82.5	73.3	87.2	91.3	100.0	100.0	35.0	9.6	24.6	11.3	79.5	34.9	23.2	36.1	23.6	100.0	63.6	60.4	21.0	8.2
HtGene0077	948	32.9	948	769	736	303	753	547	861	663	761	819	281	936	823	820	92	145	100.0	81.5	82.3	58.8	86.6	61.4	93.6	83.3	85.1	88.8	91.8	97.9	87.7	87.5	62.9	88.3	100.0	81.1	77.6	32.0	79.4	57.7	90.8	69.9	80.3	86.4	29.6	98.7	86.8	86.5	9.7	15.3
HtGene0078	654	34.3	654	654	465	207	433	0	654	97	364	479	150	654	468	470	0	0	100.0	100.0	87.6	75.3	85.4	0.0	95.0	27.8	77.2	88.1	27.2	99.4	77.0	68.9	0	0	100.0	100.0	71.1	31.7	66.2	0.0	100.0	14.8	55.7	73.2	22.9	100.0	71.6	71.9	0.0	0.0
HtGene0082	630	37.3	630	630	293	230	356	285	630	247	0	489	192	630	480	519	0	0	100.0	100.0	53.5	89.2	91.0	89.8	93.2	62.4	0.0	86.1	59.8	99.5	79.8	75.6	0	0.0	100.0	100.0	46.5	36.5	56.5	45.2	100.0	39.2	0.0	77.6	30.5	100.0	76.2	82.4	0.0	0.0
HtGene0083	825	34.2	825	674	625	0	530	323	533	284	0	488	252	825	530	530	206	0	100.0	88.2	88.4	0	87.4	76.7	74.8	60.8	0.0	85.2	75.0	98.5	87.9	87.9	99.0	0	100.0	81.7	75.8	0.0	64.2	39.2	64.6	34.4	0.0	59.2	30.5	100.0	64.2	64.2	25.0	0.0
HtGene0085	624	32.5	624	565	276	0	89	0	624	256	0	332	58	624	336	336	0	0	100.0	100.0	71.8	0	40.0	0.0	93.8	88.7	0.0	48.6	19.1	99.5	78.0	50.3	0	0	100.0	90.5	44.2	0.0	14.3	0.0	100.0	41.0	0.0	53.2	9.3	100.0	53.8	53.8	0.0	0.0
HtGene0092	435	33.1	435	435	435	0	356	352	435	308	0	435	0	435	435	435	0	0	100.0	100.0	91.0	0.0	74.0	75.7	96.1	78.1	0.0	90.6	0.0	99.8	91.0	91.0	0	0	100.0	100.0	100.0	0.0	81.8	80.9	100.0	70.8	0.0	100.0	0.0	100.0	100.0	100.0	0.0	0.0
HtGene0094	1722	31.9	1722	1722	1347	0	1274	180	1722	446	587	1477	177	1722	1609	1672	0	0	100.0	100.0	70.7	0	77.7	18.4	93.3	52.8	48.8	81.8	22.3	99.2	81.9	83.7	0	0	100.0	100.0	78.2	0.0	74.0	10.5	100.0	25.9	34.1	85.8	10.3	100.0	93.4	97.1	0.0	0.0
HtGene0095	22347	30.2	22347	22347	579	0	740	0	16572	139	242	1234	8371	22300	1892	2588	195	24	100.0	100.0	33.6	0.0	65.2	0.0	79.1	13.9	18.7	37.8	64.3	98.3	32.4	33.8	59.4	9.6	100.0	100.0	2.6	0.0	3.3	0.0	74.2	0.6	1.1	5.5	37.5	99.8	8.5	11.6	0.9	0.1
HtGene0096	1575	34.8	1575	1575	699	0	842	303	1575	787	182	1172	473	1575	1193	1279	0	0	100.0	100.0	55.0	0	75.2	31.6	90.3	74.3	41.7	86.6	70.6	99.4	73.7	80.8	0	0	100.0	100.0	44.4	0.0	53.5	19.2	100.0	50.0	11.6	74.4	30.0	100.0	75.7	81.2	0.0	0.0
HtGene0097	576	40.1	576	576	481	108	481	254	481	475	481	481	427	576	481	481	0	0	100.0	100.0	90.4	37.4	89.6	83.8	92.1	88.4	89.4	89.6	78.7	98.6	75.5	90.4	0	0	100.0	100.0	83.5	18.8	83.5	44.1	83.5	82.5	83.5	83.5	74.1	100.0	83.5	83.5	0.0	0.0
HtGene0100	1299	29.6	1299	1299	875	284	852	379	1296	629	468	1043	145	1299	1164	1128	0	0	100.0	100.0	79.3	76.2	77.9	43.1	92.1	55.4	53.9	85.9	56.4	99.5	83.5	82.1	0	0	100.0	100.0	67.4	21.9	65.6	29.2	99.8	48.4	36.0	80.3	11.2	100.0	89.6	86.8	0.0	0.0
HtGene0108	1503	31.4	1503	1503	298	0	304	152	1503	0	117	727	418	1503	784	1128	0	0	100.0	100.0	56.9	0	86.8	58.0	91.9	0	35.5	80.6	62.9	99.3	81.7	67.1	0	0	100.0	100.0	19.8	0.0	20.2	10.1	100.0	0.0	7.8	48.4	27.8	100.0	52.2	75.0	0.0	0.0
HtGene0109	2190	26.4	2190	2190	191	35	302	35	1823	154	124	599	882	2190	463	623	0	0	100.0	100.0	33.0	40.7	48.4	59.3	79.5	89.5	25.3	56.9	55.8	98.3	38.2	63.2	0.0	0	100.0	100.0	8.7	1.6	13.8	1.6	83.2	7.0	5.7	27.4	40.3	100.0	21.1	28.4	0.0	0.0
HtGene0110	756	32.4	756	742	361	0	622	0	756	563	161	741	402	742	741	741	0	0	100.0	100.0	43.9	0.0	80.0	0	96.2	78.2	45.0	88.4	72.0	99.3	87.5	87.6	0	0	100.0	98.1	47.8	0.0	82.3	0.0	100.0	74.5	21.3	98.0	53.2	98.1	98.0	98.0	0.0	0.0
HtGene0115	4728	31.0	4711	4619	461	71	125	499	4474	101	0	1353	2277	4602	1870	2302	55	0	99.5	99.9	51.6	68.3	19.0	55.1	88.3	16.0	0.0	75.0	59.5	98.2	74.8	70.6	10.3	0	99.6	97.7	9.8	1.5	2.6	10.6	94.6	2.1	0.0	28.6	48.2	97.3	39.6	48.7	1.2	0.0
HtGene0116	834	32.6	834	834	550	0	444	0	834	533	356	648	315	834	827	827	0	0	100.0	100.0	72.5	0.0	58.5	0.0	94.8	75.6	62.5	83.4	64.5	99.5	88.5	89.2	0	0	100.0	100.0	65.9	0.0	53.2	0.0	100.0	63.9	42.7	77.7	37.8	100.0	99.2	99.2	0.0	0.0
HtGene0129	3408	29.6	3408	3408	218	0	190	0	2144	0	0	331	1543	3408	563	563	126	0	99.9	99.9	38.6	0	47.1	0	85.9	0	0.0	75.9	57.3	98.7	44.9	56.8	100.0	0.0	100.0	100.0	6.4	0.0	5.6	0.0	62.9	0.0	0.0	9.7	45.3	100.0	16.5	16.5	3.7	0.0
HtGene0131	1602	29.9	1602	1602	1020	473	856	820	1601	632	875	1314	443	1602	1571	1599	0	0	100.0	100.0	77.9	55.9	75.2	68.7	92.8	50.6	72.2	81.8	54.6	99.3	85.3	87.0	0	0	100.0	100.0	63.7	29.5	53.4	51.2	99.9	39.5	54.6	82.0	27.7	100.0	98.1	99.8	0.0	0.0
HtGene0132	1308	31.9	1308	1308	199	0	386	0	1305	383	0	843	650	1308	596	657	0	0	100.0	100.0	35.6	0	51.5	0	91.1	62.0	0	82.6	87.4	98.7	65.6	84.0	0.0	0	100.0	100.0	15.2	0.0	29.5	0.0	99.8	29.3	0.0	64.4	49.7	100.0	45.6	50.2	0.0	0.0
HtGene0133	2085	27.6	2085	2077	0	0	0	38	1866	129	0	0	469	2019	392	252	0	0	100.0	99.6	0.0	0.0	0	85.4	92.6	40.2	0.0	0.0	44.1	98.2	49.3	36.6	0	0.0	100.0	99.6	0.0	0.0	0.0	1.8	89.5	6.2	0.0	0.0	22.5	96.8	18.8	12.1	0.0	0.0
HtGene0140	3030	32.8	3030	3030	200	0	0	0	2810	0	0	450	1662	3030	600	634	0	0	100.0	100.0	44.8	0	0	0	82.8	0	0	55.5	60.0	98.7	42.6	54.4	0	0	100.0	100.0	6.6	0.0	0.0	0.0	92.7	0.0	0.0	14.9	54.9	100.0	19.8	20.9	0.0	0.0
HtGene0141	2268	27.4	2268	2177	570	0	569	0	1761	40	152	877	447	2148	979	989	0	0	100.0	96.0	70.7	0	77.1	0.0	79.6	95.2	64.1	63.8	38.2	93.7	61.5	56.8	0	0	100.0	96.0	25.1	0.0	25.1	0.0	77.6	1.8	6.7	38.7	19.7	94.7	43.2	43.6	0.0	0.0
HtGene0143	2448	33.7	2448	2448	179	0	165	0	2219	153	0	849	1295	2448	691	980	224	0	100.0	100.0	20.0	0	19.5	0	83.8	65.2	0.0	77.6	68.1	99.0	55.5	70.8	99.6	0.0	100.0	100.0	7.3	0.0	6.7	0.0	90.6	6.2	0.0	34.7	52.9	100.0	28.2	40.0	9.2	0.0
HtGene0148	1707	38.3	1707	1707	592	0	1094	185	1631	685	313	1177	495	1707	1344	1312	176	0	100.0	100.0	60.0	0.0	78.5	35.7	90.7	49.9	33.3	70.0	53.1	99.1	71.1	72.3	64.7	0.0	100.0	100.0	34.7	0.0	64.1	10.8	95.5	40.1	18.3	69.0	29.0	100.0	78.7	76.9	10.3	0.0
HtGene0153	1251	33.4	1251	1251	337	0	504	0	1207	845	0	925	1013	1251	1007	998	0	0	100.0	99.9	83.3	0	55.7	0.0	91.6	82.1	0	80.9	88.9	99.1	87.6	78.9	0.0	0	100.0	100.0	26.9	0.0	40.3	0.0	96.5	67.5	0.0	73.9	81.0	100.0	80.5	79.8	0.0	0.0
HtGene0166	1548	28.4	1548	1538	210	0	325	210	1471	0	0	349	0	1548	636	813	0	0	99.9	99.3	55.6	0.0	84.0	88.9	87.0	0.0	0.0	87.9	0.0	99.4	43.0	60.3	0	0	100.0	99.4	13.6	0.0	21.0	13.6	95.0	0.0	0.0	22.5	0.0	100.0	41.1	52.5	0.0	0.0
HtGene0168	1182	33.0	1182	1182	1007	621	1182	657	1182	1011	823	1182	427	1182	1182	1182	0	0	100.0	100.0	83.3	78.6	89.3	61.1	94.1	77.8	88.1	89.3	50.6	99.4	88.7	88.7	0.0	0	100.0	100.0	85.2	52.5	100.0	55.6	100.0	85.5	69.6	100.0	36.1	100.0	100.0	100.0	0.0	0.0
HtGene0169	1726	21.7	1726	1495	0	0	0	0	390	0	0	0	171	1582	0	108	0	0	99.8	86.5	0	0	0	0	39.0	0	0	0.0	36.9	92.8	0.0	63.5	0	0.0	100.0	86.6	0.0	0.0	0.0	0.0	22.6	0.0	0.0	0.0	9.9	91.7	0.0	6.3	0.0	0.0
HtGene0182	2748	28.7	2748	2748	519	0	556	0	2725	736	258	655	919	2748	930	1204	0	0	99.9	100.0	52.4	0	69.7	0.0	90.2	63.3	45.2	77.9	44.6	99.2	79.3	67.0	0.0	0.0	100.0	100.0	18.9	0.0	20.2	0.0	99.2	26.8	9.4	23.8	33.4	100.0	33.8	43.8	0.0	0.0
HtGene0183	5808	35.0	5808	5808	1057	558	880	471	4879	447	218	1375	2827	5808	1518	1867	0	40	99.9	99.9	50.6	55.1	69.0	68.3	84.0	58.6	22.2	60.4	70.3	98.5	79.7	71.9	0.0	78.4	100.0	100.0	18.2	9.6	15.2	8.1	84.0	7.7	3.8	23.7	48.7	100.0	26.1	32.1	0.0	0.7
HtGene0199	4221	28.8	4221	4221	1083	0	1173	232	4220	0	693	1678	1827	4221	2182	2384	0	0	100.0	100.0	72.3	0	75.9	28.1	89.6	0.0	55.3	77.5	78.4	99.1	76.7	72.6	0.0	0.0	100.0	100.0	25.7	0.0	27.8	5.5	100.0	0.0	16.4	39.8	43.3	100.0	51.7	56.5	0.0	0.0
HtGene0206	1449	32.2	1449	1449	0	0	0	0	1336	0	0	193	497	1449	0	0	0	0	99.9	99.9	0	0	0.0	0	81.6	0.0	0	70.7	46.0	99.0	0.0	0	0	0	100.0	100.0	0.0	0.0	0.0	0.0	92.2	0.0	0.0	13.3	34.3	100.0	0.0	0.0	0.0	0.0
HtGene0209	2502	29.1	2502	2430	280	0	191	0	1558	0	0	554	697	2466	666	845	0	0	99.9	97.0	92.1	0	50.0	0	78.3	0	0	79.0	54.2	97.0	66.1	53.7	0.0	0	100.0	97.1	11.2	0.0	7.6	0.0	62.3	0.0	0.0	22.1	27.9	98.6	26.6	33.8	0.0	0.0
HtGene0210	1611	32.2	1611	1611	0	135	94	0	1611	0	0	444	834	1611	958	1063	0	0	100.0	100.0	0.0	89.1	16.7	0	92.1	0	0	49.6	67.8	99.3	73.6	59.4	0	0	100.0	100.0	0.0	8.4	5.8	0.0	100.0	0.0	0.0	27.6	51.8	100.0	59.5	66.0	0.0	0.0
HtGene0214	4287	34.4	4287	4287	2018	564	2327	313	4287	1480	446	3304	1757	4287	3104	3592	261	0	100.0	100.0	62.7	60.8	75.5	38.1	91.8	53.9	29.9	76.5	56.2	99.4	67.5	81.1	67.7	0.0	100.0	100.0	47.1	13.2	54.3	7.3	100.0	34.5	10.4	77.1	41.0	100.0	72.4	83.8	6.1	0.0
HtGene0219	3300	30.7	3300	3300	655	0	651	0	2393	288	435	904	503	3300	1074	1099	0	0	100.0	100.0	77.0	0	67.3	0.0	73.2	50.2	51.4	72.5	38.4	99.0	85.2	56.9	0	0	100.0	100.0	19.8	0.0	19.7	0.0	72.5	8.7	13.2	27.4	15.2	100.0	32.5	33.3	0.0	0.0
HtGene0225	792	35.5	792	729	594	0	646	285	792	592	0	645	212	792	672	700	0	0	100.0	100.0	72.1	0	86.5	85.5	93.9	78.3	0.0	83.8	58.3	99.9	84.0	83.3	0	0	100.0	92.0	75.0	0.0	81.6	36.0	100.0	74.7	0.0	81.4	26.8	100.0	84.8	88.4	0.0	0.0
HtGene0226	858	30.8	858	858	0	0	0	0	858	0	0	0	488	858	0	0	0	0	100.0	100.0	0	0	0	0	89.9	0	0	0	68.2	99.0	0	0	0	0	100.0	100.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	56.9	100.0	0.0	0.0	0.0	0.0
HtGene0230	1284	34.4	1284	1265	323	79	464	262	995	80	316	691	593	1284	916	862	0	0	100.0	99.5	52.7	75.2	85.8	90.0	90.4	92.0	57.8	80.3	81.0	98.6	69.7	73.4	0.0	0.0	100.0	98.5	25.2	6.2	36.1	20.4	77.5	6.2	24.6	53.8	46.2	100.0	71.3	67.1	0.0	0.0
HtGene0231	531	34.5	531	531	263	138	263	0	531	488	263	386	282	531	427	355	0	0	100.0	100.0	84.8	32.0	46.4	0	93.0	83.4	84.8	70.3	99.6	99.6	78.7	60.4	0	0	100.0	100.0	49.5	26.0	49.5	0.0	100.0	91.9	49.5	72.7	53.1	100.0	80.4	66.9	0.0	0.0
HtGene0240	1056	29.3	1056	1056	0	0	0	0	1014	219	0	574	282	1056	610	694	0	0	100.0	100.0	0	0	0.0	0.0	88.7	75.3	0.0	72.9	51.0	99.4	73.2	74.3	0	0	100.0	100.0	0.0	0.0	0.0	0.0	96.0	20.7	0.0	54.4	26.7	100.0	57.8	65.7	0.0	0.0
HtGene0241	1218	27.3	1218	1218	342	0	211	360	775	0	0	465	383	1218	592	641	0	0	100.0	100.0	67.2	0	81.5	53.4	85.5	0.0	0.0	59.0	46.1	98.4	61.0	58.7	0	0.0	100.0	100.0	28.1	0.0	17.3	29.6	63.6	0.0	0.0	38.2	31.4	100.0	48.6	52.6	0.0	0.0
HtGene0243	1959	35.1	1959	1959	217	226	247	0	1191	264	218	323	871	1959	409	369	0	0	100.0	100.0	65.0	85.8	40.4	0	85.9	53.8	76.4	37.4	62.8	97.4	60.2	64.1	0	0	100.0	100.0	11.1	11.5	12.6	0.0	60.8	13.5	11.1	16.5	44.5	100.0	20.9	18.8	0.0	0.0
HtGene0246	1719	35.0	1719	1719	1546	0	873	142	1719	233	278	1024	436	1719	1719	1719	0	0	100.0	100.0	87.0	0.0	69.1	17.3	93.5	42.5	45.7	62.4	95.8	99.2	89.4	89.4	0	0	100.0	100.0	89.9	0.0	50.8	8.3	100.0	13.6	16.2	59.6	25.4	100.0	100.0	100.0	0.0	0.0
HtGene0248	2229	33.3	2229	2171	1226	186	1261	658	2229	890	329	1868	601	2201	2075	2046	0	0	100.0	99.3	61.0	21.5	69.0	62.7	92.8	63.2	32.7	78.8	50.8	98.3	84.8	80.7	0.0	0.0	100.0	97.4	55.0	8.3	56.6	29.5	100.0	39.9	14.8	83.8	27.0	98.7	93.1	91.8	0.0	0.0
HtGene0256	1548	35.5	1548	1548	0	0	0	0	0	0	0	0	618	1536	0	0	0	0	100.0	100.0	0	0	0.0	0	0	0.0	0	0	49.9	95.5	0	0.0	0	0.0	100.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.9	99.2	0.0	0.0	0.0	0.0
HtGene0257	5082	33.5	5082	5082	80	0	0	0	0	0	0	0	2251	5082	0	264	231	0	99.7	100.0	27.8	0	0.0	0	0.0	0.0	0	0	70.7	96.3	0.0	27.9	63.2	0.0	100.0	100.0	1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.3	100.0	0.0	5.2	4.5	0.0
